Point;AP;Timestamp;Frequency;Signal;Antenna 0;Antenna 1;Antenna 2;Antenna 3;Device_ID
a1;ap1;11:23:44.399895;5180;-57;-60;-61;-89;-89;device_001
a1;ap1;11:23:44.419829;5180;-57;-60;-61;-89;-89;device_001
a1;ap1;11:23:49.768920;5180;-59;-60;-65;-89;-89;device_001
a1;ap1;11:23:49.788092;5180;-58;-60;-65;-89;-89;device_001
a1;ap1;11:23:54.378716;5180;-61;-63;-65;-89;-89;device_001
a1;ap1;11:23:58.430747;5180;-61;-63;-67;-89;-89;device_001
a1;ap1;11:23:58.450522;5180;-61;-63;-67;-89;-89;device_001
a1;ap1;11:24:03.957742;5180;-61;-65;-64;-89;-89;device_001
a1;ap1;11:24:03.977541;5180;-61;-65;-64;-89;-89;device_001
a1;ap1;11:24:08.319182;5180;-61;-66;-63;-89;-89;device_001
a1;ap1;11:24:12.491547;5180;-63;-69;-64;-89;-89;device_001
a1;ap1;11:24:12.510629;5180;-63;-69;-64;-89;-89;device_001
a1;ap1;11:24:16.252467;5180;-63;-69;-65;-89;-89;device_001
a1;ap1;11:24:16.272225;5180;-63;-69;-65;-89;-89;device_001
a1;ap1;11:24:21.006119;5180;-62;-64;-66;-89;-89;device_001
a1;ap1;11:24:24.949621;5180;-62;-68;-63;-89;-89;device_001
a1;ap1;11:24:24.969658;5180;-61;-68;-62;-89;-89;device_001
a1;ap1;11:24:24.992843;5180;-61;-68;-62;-89;-89;device_001
a1;ap1;11:24:30.080012;5180;-62;-67;-63;-89;-89;device_001
a1;ap1;11:24:30.098956;5180;-62;-67;-63;-89;-89;device_001
a1;ap1;11:24:34.578615;5180;-65;-69;-67;-89;-89;device_001
a1;ap1;11:24:34.598143;5180;-67;-70;-70;-89;-89;device_001
a1;ap1;11:24:39.850496;5180;-66;-67;-73;-89;-89;device_001
a1;ap1;11:24:45.467360;5180;-59;-62;-62;-89;-89;device_001
a1;ap1;11:24:45.487614;5180;-58;-62;-61;-89;-89;device_001
a1;ap1;11:24:49.321792;5180;-61;-66;-63;-89;-89;device_001
a1;ap1;11:24:49.342114;5180;-63;-66;-66;-89;-89;device_001
a1;ap1;11:24:59.674385;5180;-67;-68;-75;-89;-89;device_001
a1;ap1;11:24:59.694593;5180;-66;-67;-73;-89;-89;device_001
a1;ap1;11:25:04.097118;5180;-62;-66;-64;-89;-89;device_001
a1;ap1;11:25:04.116217;5180;-63;-66;-65;-89;-89;device_001
a1;ap1;11:25:09.754868;5180;-65;-67;-68;-89;-89;device_001
a1;ap1;11:25:13.921842;5180;-62;-65;-65;-89;-89;device_001
a1;ap1;11:25:13.941086;5180;-62;-65;-65;-89;-89;device_001
a1;ap1;11:25:18.322395;5180;-65;-67;-69;-89;-89;device_001
a1;ap1;11:25:18.344229;5180;-65;-67;-69;-89;-89;device_001
a1;ap1;11:25:22.663681;5180;-63;-66;-67;-89;-89;device_001
a1;ap1;11:25:26.823885;5180;-65;-65;-74;-89;-89;device_001
a1;ap1;11:25:26.843978;5180;-64;-65;-74;-89;-89;device_001
a1;ap1;11:25:32.268238;5180;-59;-64;-61;-89;-89;device_001
a1;ap1;11:25:32.288194;5180;-62;-64;-68;-89;-89;device_001
a1;ap1;11:25:41.652185;5180;-68;-68;-78;-89;-89;device_001
a1;ap1;11:25:41.671012;5180;-68;-68;-78;-89;-89;device_001
a1;ap2;15:25:35.503400;5180;-59;-63;-62;-89;-89;device_001
a1;ap2;15:25:35.523352;5180;-59;-63;-61;-89;-89;device_001
a1;ap2;15:25:40.872424;5180;-58;-59;-65;-89;-89;device_001
a1;ap2;15:25:40.891599;5180;-59;-60;-65;-89;-89;device_001
a1;ap2;15:25:49.534229;5180;-57;-59;-64;-89;-89;device_001
a1;ap2;15:25:49.553972;5180;-58;-59;-64;-89;-89;device_001
a1;ap2;15:25:55.061214;5180;-56;-59;-60;-89;-89;device_001
a1;ap2;15:25:55.081026;5180;-57;-59;-60;-89;-89;device_001
a1;ap2;15:25:59.422671;5180;-58;-61;-60;-89;-89;device_001
a1;ap2;15:26:03.595023;5180;-57;-59;-62;-89;-89;device_001
a1;ap2;15:26:03.614096;5180;-57;-59;-62;-89;-89;device_001
a1;ap2;15:26:07.355918;5180;-60;-63;-63;-89;-89;device_001
a1;ap2;15:26:07.375675;5180;-60;-64;-63;-89;-89;device_001
a1;ap2;15:26:12.109559;5180;-58;-60;-61;-89;-89;device_001
a1;ap2;15:26:16.053048;5180;-58;-60;-63;-89;-89;device_001
a1;ap2;15:26:16.073112;5180;-58;-60;-62;-89;-89;device_001
a1;ap2;15:26:16.096284;5180;-58;-60;-62;-89;-89;device_001
a1;ap2;15:26:21.183450;5180;-60;-63;-64;-89;-89;device_001
a1;ap2;15:26:21.202409;5180;-61;-63;-64;-89;-89;device_001
a1;ap2;15:26:25.682037;5180;-63;-66;-67;-89;-89;device_001
a1;ap2;15:26:25.701574;5180;-63;-66;-67;-89;-89;device_001
a1;ap2;15:26:30.953922;5180;-61;-65;-63;-89;-89;device_001
a1;ap2;15:26:36.570772;5180;-56;-57;-64;-89;-89;device_001
a1;ap2;15:26:36.591031;5180;-56;-57;-64;-89;-89;device_001
a1;ap2;15:26:40.425193;5180;-59;-61;-64;-89;-89;device_001
a1;ap2;15:26:40.445488;5180;-59;-61;-64;-89;-89;device_001
a1;ap2;15:26:50.777772;5180;-60;-67;-61;-89;-89;device_001
a1;ap2;15:26:50.797991;5180;-60;-67;-61;-89;-89;device_001
a1;ap2;15:26:55.200495;5180;-58;-60;-63;-89;-89;device_001
a1;ap2;15:26:55.219586;5180;-58;-60;-62;-89;-89;device_001
a1;ap2;15:27:00.858238;5180;-60;-66;-61;-89;-89;device_001
a1;ap2;15:27:05.025199;5180;-58;-59;-63;-89;-89;device_001
a1;ap2;15:27:05.044461;5180;-58;-60;-63;-89;-89;device_001
a1;ap2;15:27:09.425747;5180;-60;-62;-65;-89;-89;device_001
a1;ap2;15:27:09.447565;5180;-60;-62;-64;-89;-89;device_001
a1;ap2;15:27:13.766961;5180;-61;-63;-64;-89;-89;device_001
a1;ap2;15:27:17.927223;5180;-61;-64;-64;-89;-89;device_001
a1;ap2;15:27:17.947314;5180;-61;-64;-64;-89;-89;device_001
a1;ap2;15:27:23.371576;5180;-57;-59;-62;-89;-89;device_001
a1;ap2;15:27:23.391549;5180;-57;-59;-62;-89;-89;device_001
a1;ap2;15:27:32.755495;5180;-65;-67;-70;-89;-89;device_001
a1;ap2;15:27:32.774324;5180;-65;-67;-69;-89;-89;device_001
a1;ap3;19:40:30.770597;5180;-56;-63;-57;-89;-89;device_001
a1;ap3;19:40:30.789778;5180;-56;-63;-57;-89;-89;device_001
a1;ap3;19:40:35.380407;5180;-53;-53;-63;-89;-89;device_001
a1;ap3;19:40:39.432451;5180;-57;-58;-67;-89;-89;device_001
a1;ap3;19:40:39.452193;5180;-58;-58;-68;-89;-89;device_001
a1;ap3;19:40:44.959463;5180;-57;-58;-64;-89;-89;device_001
a1;ap3;19:40:44.979273;5180;-57;-58;-65;-89;-89;device_001
a1;ap3;19:40:49.320933;5180;-54;-56;-57;-89;-89;device_001
a1;ap3;19:40:53.493318;5180;-52;-55;-55;-89;-89;device_001
a1;ap3;19:40:53.512395;5180;-51;-54;-54;-89;-89;device_001
a1;ap3;19:40:57.254242;5180;-56;-60;-58;-89;-89;device_001
a1;ap3;19:40:57.274005;5180;-56;-61;-58;-89;-89;device_001
a1;ap3;19:41:02.007919;5180;-56;-62;-57;-89;-89;device_001
a1;ap3;19:41:05.951422;5180;-56;-58;-61;-89;-89;device_001
a1;ap3;19:41:05.971466;5180;-56;-58;-61;-89;-89;device_001
a1;ap3;19:41:05.994662;5180;-56;-59;-60;-89;-89;device_001
a1;ap3;19:41:11.081848;5180;-55;-56;-63;-89;-89;device_001
a1;ap3;19:41:11.100790;5180;-55;-56;-63;-89;-89;device_001
a1;ap3;19:41:15.580477;5180;-54;-54;-62;-89;-89;device_001
a1;ap3;19:41:15.600007;5180;-54;-54;-62;-89;-89;device_001
a1;ap3;19:41:20.852376;5180;-56;-63;-57;-89;-89;device_001
a1;ap3;19:41:26.469275;5180;-57;-59;-61;-89;-89;device_001
a1;ap3;19:41:26.489541;5180;-58;-60;-62;-89;-89;device_001
a1;ap3;19:41:30.323710;5180;-56;-65;-56;-89;-89;device_001
a1;ap3;19:41:30.344005;5180;-56;-65;-56;-89;-89;device_001
a1;ap3;19:41:40.676351;5180;-55;-56;-61;-89;-89;device_001
a1;ap3;19:41:40.696559;5180;-56;-57;-61;-89;-89;device_001
a1;ap3;19:41:45.099115;5180;-52;-60;-53;-89;-89;device_001
a1;ap3;19:41:45.118202;5180;-51;-58;-52;-89;-89;device_001
a1;ap3;19:41:50.756880;5180;-51;-55;-53;-89;-89;device_001
a1;ap3;19:41:54.923873;5180;-53;-59;-55;-89;-89;device_001
a1;ap3;19:41:54.943115;5180;-54;-59;-55;-89;-89;device_001
a1;ap3;19:41:59.324441;5180;-52;-58;-53;-89;-89;device_001
a1;ap3;19:41:59.346274;5180;-52;-58;-53;-89;-89;device_001
a1;ap3;19:42:03.665685;5180;-52;-60;-53;-89;-89;device_001
a1;ap3;19:42:07.825964;5180;-53;-60;-53;-89;-89;device_001
a1;ap3;19:42:07.846056;5180;-53;-60;-53;-89;-89;device_001
a1;ap3;19:42:13.270354;5180;-52;-58;-54;-89;-89;device_001
a1;ap3;19:42:13.290314;5180;-52;-58;-54;-89;-89;device_001
