method,mean_m,median_m,std_m,max_m
KWNN k=3,2.2926582064024936,2.0933500185835174,1.5743233107892562,5.5670940305044665
KWNN k=4,2.3801474229884247,1.807440394055486,1.6774755722300785,6.7313379884061995
KWNN k=5,2.607461559375145,1.9214250267104371,1.9184169681529135,7.335233723600421
KWNN k=6,2.576618181182839,1.5571696675103075,2.1070049350441,7.56877133866668
MAP k=1,3.6539277347241903,2.6832815729997477,2.1784859417270135,9.13892772703669
MAP k=2,3.1276101348075045,2.78128293253567,1.489315710894799,6.962629406819385
MAP k=3,3.0480866705508203,2.657601723895808,1.6389076846357944,7.283009993514834
MAP k=4,3.0079231252341425,2.652637879957437,1.597453638338278,7.081631847313323
MAP k=5,3.01555019094234,2.651571017854247,1.573819789993019,7.05787884157454
MAP k=6,2.9987982902083865,2.6518344038109363,1.5750140244875934,7.053845560442013
Random Forest,2.3848725570832574,1.933623026859165,2.170965259669852,7.452355767809264
Gradient Boosting,2.678587040840758,1.5885050953419038,2.00358810361743,6.614969412989347
