chart_file,reference_size_bytes,md5_reference,same_name_output_in_all_original_scripts,same_name_output_is_byte_identical,provenance_source,extracted_source_cell_files,adapted_script_added,status_note
Aps.pdf,13865,be145ec4dbd8384d60d6aa37912bf1fd,True,False,radiomaps.ipynb::cell 8,source_cells/radiomaps_cell8_Aps.py,,output file exists in all-original-scripts
ann_architectures_scaled.pdf,36921,cf88b536eac7cd9265365f63b269bd17,True,False,nn_senstivity.ipynb::cell 7,source_cells/nn_senstivity_cell7_ann_architectures_scaled.py,,output file exists in all-original-scripts
ann_architectures_xy_subset.pdf,26963,d5218854456e6067d82ff42982168bc1,True,True,nn_senstivity.ipynb::cell 9,source_cells/nn_senstivity_cell9_ann_architectures_xy_subset.py,,output file exists in all-original-scripts
ann_sensitivity_times_new_roman.png,597391,ad0844f199a0551a076e69719091418f,True,True,nn_senstivity.ipynb::cell 3,source_cells/nn_senstivity_cell3_ann_sensitivity_times_new_roman.py,,output file exists in all-original-scripts
ap_density_sensitivity.pdf,21394,bc95113b5e7e21cedd43b1de65ee010b,False,,experiments/run_ap_density_analysis.py::added from release/attached fig,,adapted_scripts/generate_ap_density_sensitivity.py,not in all-original-scripts; attached/release script added
aps.png,193736,c44b2b7eacea9f590447c932aa448adf,True,True,radiomaps.ipynb::manual-export/no savefig call detected,,,output file exists in all-original-scripts
arch3_arch4_xy_meters_transformer.pdf,15522,15b4348a3dfd9a68d15492f3193aa75a,True,True,best transformer than kwnn.ipynb::cell 9,source_cells/best_transformer_than_kwnn_cell9_arch3_arch4_xy_meters_transformer.py,,output file exists in all-original-scripts
fingerprints.jpg,176455,e2a818f23dfb244feb4d02ce4ac11749,False,,new script required::not found in all-original-scripts,,adapted_scripts/generate_fingerprints_3d_layout.py,not in all-original-scripts; adapted reconstruction script added
hnsw_k_accuracy_trend.pdf,24687,9be8b485acbd5b419d6421cd5fb469d2,True,True,Untitled1.ipynb::cell 6,source_cells/Untitled1_cell6_hnsw_k_accuracy_trend.py,,output file exists in all-original-scripts
kalman_kwnn_plot.pdf,24124,98f1f7232f4df55246d9890ea49fb258,True,False,KF_KWNN_passive.ipynb::cell 5,source_cells/KF_KWNN_passive_cell5_kalman_kwnn_plot.py,,output file exists in all-original-scripts
knn-based_xy.pdf,16700,e810ac48355d0fdb14a790837cfbc920,True,True,KWNN XY LOCATIONS.ipynb::cell 4,source_cells/KWNN_XY_LOCATIONS_cell4_knn-based_xy.py,,output file exists in all-original-scripts
kwnn_2.pdf,24444,20f073f37e5ee55a8fff376d26cbd4dc,True,False,Traditional_KWNN_passive.ipynb::cell 5,source_cells/Traditional_KWNN_passive_cell5_kwnn_2.py,,output file exists in all-original-scripts
kwnn_MAP.pdf,26389,d0b690b0514231547bcd0a4a4e6cccd0,True,True,Working_KWNN_MaP_passive.ipynb::cell 6,source_cells/Working_KWNN_MaP_passive_cell6_kwnn_MAP.py,,output file exists in all-original-scripts
latency_lollipop_methods_vertical_family_log.pdf,25380,389a6996fff15633974337e7e2e2cf0a,True,True,df_all_methods.ipynb::cell 11,source_cells/df_all_methods_cell11_latency_lollipop_methods_vertical_family_log.py,,output file exists in all-original-scripts
lollipop_max_desc_familycolors_VERTICAL.pdf,26134,45b8212250128036237bde3fddac9f41,True,True,df_all_methods.ipynb::cell 9,source_cells/df_all_methods_cell9_lollipop_max_desc_familycolors_VERTICAL.py,,output file exists in all-original-scripts
lollipop_median_desc_familycolors_VERTICAL.pdf,24060,96a66a2e2c13da060f2ec15a8d769ae6,True,True,df_all_methods.ipynb::cell 8,source_cells/df_all_methods_cell8_lollipop_median_desc_familycolors_VERTICAL.py,,output file exists in all-original-scripts
methods_bxp_statistical.pdf,27470,518e01c286667db15883626e95c6d275,True,True,df_all_methods.ipynb::cell 2,source_cells/df_all_methods_cell2_methods_bxp_statistical.py,,output file exists in all-original-scripts
model_comparison_comprehensive.pdf,57675,ac864f5fd240267e67431e2958e01231,False,,plots/generate_paper_figures.py::added from release/attached fig,,adapted_scripts/generate_model_comparison_comprehensive.py,not in all-original-scripts; attached/release script added
trans_refine_MEE_grid.pdf,31785,64638acbfabb0c250074dbc6cf9d4813,True,True,transformer_well_perform.ipynb::cell 40; transformer_well_perform - Copy.ipynb::cell 40,source_cells/transformer_well_perform_cell40_trans_refine_MEE_grid.py | source_cells/transformer_well_perform_-_Copy_cell40_trans_refine_MEE_grid.py,,output file exists in all-original-scripts
transformers_arch_pointwise_errors_with_box.pdf,16809,6e7482f5803018d5a314ee09f46da58e,True,True,best transformer than kwnn.ipynb::cell 6,source_cells/best_transformer_than_kwnn_cell6_transformers_arch_pointwise_errors_with_box.py,,output file exists in all-original-scripts
tree-based.pdf,21725,285f9b9da6075f073b570df191144015,True,True,tree-based.ipynb::cell 22,source_cells/tree-based_cell22_tree-based.py,,output file exists in all-original-scripts
tree-based_xy.pdf,18798,4c98a56eb4978bf8687e61c62d42f73c,True,True,tree-based.ipynb::cell 13,source_cells/tree-based_cell13_tree-based_xy.py,,output file exists in all-original-scripts
xyaps.png,195096,369150f19f2da6924c104acbdee891be,True,True,radiomaps.ipynb::manual-export/no savefig call detected,,,output file exists in all-original-scripts
