Family,Method,k,Variant,Search,Mean,Std,Min,Q1,Median,Q3,Max,Time_ms,TimeStd_ms,Notes
KWNN,KWNN k=3 (Avg),3.0,Avg,Brute,2.26,1.98,0.29,1.06,1.98,2.75,6.52,0.75,0.04,
KWNN,KWNN k=3 (KF),3.0,KF,Brute,2.17,1.84,0.35,1.29,1.99,2.03,6.64,0.75,0.04,
KWNN,KWNN k=4 (Avg),4.0,Avg,Brute,2.36,1.76,0.25,1.69,2.22,2.74,6.4,0.7,0.03,
KWNN,KWNN k=4 (KF),4.0,KF,Brute,2.16,2.1,0.26,0.92,1.7,1.91,7.31,0.7,0.03,
KWNN,KWNN k=5 (Avg),5.0,Avg,Brute,2.29,2.02,0.34,1.53,1.58,2.46,7.12,0.75,0.05,
KWNN,KWNN k=5 (KF),5.0,KF,Brute,2.05,2.02,0.26,1.21,1.42,2.41,7.08,0.75,0.05,
KWNN,KWNN k=6 (Avg),6.0,Avg,Brute,2.02,1.84,0.52,0.95,1.15,2.33,6.37,0.65,0.05,
KWNN,KWNN k=6 (Exact),6.0,Avg,Brute,2.02,,,,1.15,,6.37,0.65,,
KWNN,KWNN k=6 (HNSW),6.0,Avg,HNSW,2.02,,,,1.15,,6.37,0.0,,
KWNN,KWNN k=6 (KF),6.0,KF,Brute,1.97,2.31,0.19,0.82,1.12,1.74,7.66,0.65,0.05,
KWNN Auto-k,KWNN Density-Aware k,,Density-Aware,HNSW,2.432,,,,1.959,,6.013,,,
KWNN Auto-k,KWNN Distance-Weighted,,Distance-Weighted,HNSW,2.733,,,,2.956,,5.524,,,
KWNN Auto-k,KWNN Validation-Based (k=6),6.0,Validation,HNSW,2.02,,,,1.15,,6.37,,,
Trees,CatBoost (CAT),,,,2.69,2.06,0.02,1.35,1.98,3.31,6.95,3.46,6.86,
Trees,Random Forest (RF),,,,2.33,2.19,0.31,0.6,1.47,3.49,7.12,26.14,11.16,
Trees,XGBoost (XGB),,,,3.13,1.67,1.56,1.92,2.66,3.89,6.78,1.74,5.21,
ANN,ANN Arch 1,,Arch 1,,2.74,1.62,0.71,1.55,2.55,3.73,5.7,108.81,21.37,
ANN,ANN Arch 2,,Arch 2,,2.67,1.89,0.39,1.73,1.96,3.62,6.49,117.71,14.69,
ANN,ANN Arch 3,,Arch 3,,2.65,1.67,0.27,1.4,2.71,3.07,6.02,112.52,15.44,
ANN,ANN Arch 4,,Arch 4,,2.62,1.92,0.25,1.5,1.94,3.53,6.62,108.99,20.46,
Transformer,TF Arch 1,,Arch 1,,3.52,2.75,0.69,1.7,2.01,4.95,7.71,1.08,0.12,
Transformer,TF Arch 2,,Arch 2,,3.29,2.7,0.2,1.29,1.79,5.77,7.17,0.69,0.05,
Transformer,TF Arch 3,,Arch 3,,3.3,1.62,1.34,2.22,2.97,4.23,6.29,1.21,0.04,
Transformer,TF Arch 4,,Arch 4,,2.19,1.42,0.73,1.05,1.7,3.17,4.53,0.8,0.07,
