method,mean_m,std_m,source
KWNN_euclidean_k3,2.2926582064024936,,kwnn
KWNN_euclidean_k4,2.3801474229884247,,kwnn
KWNN_euclidean_k5,2.607461559375145,,kwnn
KWNN_euclidean_k6,2.576618181182839,,kwnn
KWNN_manhattan_k3,2.320666226230794,,kwnn
KWNN_manhattan_k4,2.4675493204927004,,kwnn
KWNN_manhattan_k5,2.355623567564628,,kwnn
KWNN_manhattan_k6,2.3037227006683505,,kwnn
KWNN_chebyshev_k3,2.597283751410299,,kwnn
KWNN_chebyshev_k4,2.3800062244793505,,kwnn
KWNN_chebyshev_k5,2.572646370004371,,kwnn
KWNN_chebyshev_k6,2.329656372765319,,kwnn
KWNN_minkowski_k3,2.2926582064024936,,kwnn
KWNN_minkowski_k4,2.3801474229884247,,kwnn
KWNN_minkowski_k5,2.607461559375145,,kwnn
KWNN_minkowski_k6,2.576618181182839,,kwnn
RandomForest,2.321920861769805,0.1304318307857016,ensemble
GradientBoosting,2.639410913239856,0.0375073031001871,ensemble
XGBoost_GridSearch,3.1289847741785075,0.0,ensemble
CatBoost,2.6322089934766724,0.0,ensemble
