k,dispersion,geometry,is_core,model,Mean_Error_m,Median_Error_m,Std_Error_m,Min_Error_m,Max_Error_m,Q25_Error_m,Q75_Error_m,ap_indices_str,ap_names_str
2,3.605551275463989,,False,KWNN,3.0778918212184054,2.4988800004266465,1.914830064674324,1.2581118537805673,7.7958446223767135,1.8494988277094784,3.702515172093207,"(1, 2)","('ap1', 'ap2')"
2,3.605551275463989,,False,RF,3.0597070059695626,2.3867174298605187,2.1713332767523017,0.78697411012053,8.441569069787915,1.6970851510752196,3.6324146913589037,"(1, 2)","('ap1', 'ap2')"
2,3.605551275463989,,False,Transformer,3.6516318463813695,3.363823375564128,2.0612315309419724,2.0872397464920516,9.21612977804777,2.2146293837071025,3.6331400608927766,"(1, 2)","('ap1', 'ap2')"
2,12.36931687685298,,False,KWNN,3.206734746994586,2.135011898326204,2.98887308747389,0.7485880373737404,10.856690931249416,1.2692747331692062,3.7496803110655628,"(1, 3)","('ap1', 'ap3')"
2,12.36931687685298,,False,RF,3.1722364899895705,2.6418762745442868,2.193654046567757,1.116213044181083,8.34610629275712,1.4650153616942043,3.552511764934777,"(1, 3)","('ap1', 'ap3')"
2,12.36931687685298,,False,Transformer,3.8629788719054403,3.0466846801759444,2.1290146625638133,2.274914197782361,9.572828879346527,2.7473034277208996,3.6631608298914773,"(1, 3)","('ap1', 'ap3')"
2,12.041594578792296,,False,KWNN,4.015060602798256,3.868894945612677,2.7008050182046857,0.2865204671294628,10.392084977119882,3.265993293663969,4.614020437634656,"(1, 4)","('ap1', 'ap4')"
2,12.041594578792296,,False,RF,3.764053797834606,3.571000358442995,2.035289874878922,1.352911028116779,8.613593352370426,2.293054140224343,4.478071711127458,"(1, 4)","('ap1', 'ap4')"
2,12.041594578792296,,False,Transformer,3.321802194390999,2.3529616645559566,2.7572405370496478,0.17555364395969117,9.99727930789907,1.9567663593311453,4.253743113838689,"(1, 4)","('ap1', 'ap4')"
2,22.135943621178654,dispersed,True,KWNN,3.0295453406901456,1.8183705350201091,2.7497999753497124,0.2971614072822731,8.67952418416315,0.6741075745556397,4.893443876946594,"(1, 5)","('ap1', 'ap5')"
2,22.135943621178654,dispersed,True,RF,3.358477012492311,3.032823430402766,2.1504153190345585,1.229388465864228,8.695634297738149,1.7367044192953505,3.9093225103590523,"(1, 5)","('ap1', 'ap5')"
2,22.135943621178654,dispersed,True,Transformer,3.4187809882791074,3.3407634803003634,2.674658454405765,0.580455742025701,9.292518906420758,1.038541900441713,4.405817590739126,"(1, 5)","('ap1', 'ap5')"
2,17.26267650163207,,False,KWNN,3.9409718896348003,2.409061804138942,3.398017398612086,0.5589842868406585,11.147037430249298,1.9828681746019312,4.5920504420677855,"(1, 6)","('ap1', 'ap6')"
2,17.26267650163207,,False,RF,3.308713110328788,2.0833026688409917,2.946189518906782,0.6434955244599608,8.95895757384753,1.2511779449782514,3.7276147655035383,"(1, 6)","('ap1', 'ap6')"
2,17.26267650163207,,False,Transformer,3.217898177117659,2.745289005318133,2.2916030072610027,0.4821805926645252,9.071493272366785,1.776427843141216,3.598980320777511,"(1, 6)","('ap1', 'ap6')"
2,10.0,,False,KWNN,3.8017697210217825,3.962804052361765,1.854406564190302,1.205014965719368,7.684525387824169,2.6685397932919472,4.590736653662741,"(2, 3)","('ap2', 'ap3')"
2,10.0,,False,RF,2.5489884383659582,2.504923601629399,0.967765830818023,1.432723591625405,4.194942432262927,1.6815088462449432,3.094559563168885,"(2, 3)","('ap2', 'ap3')"
2,10.0,,False,Transformer,3.3298415619301704,2.5253589295759347,2.23053381289751,0.7165176401512455,7.785162824082111,1.8374307550770557,4.930324237019739,"(2, 3)","('ap2', 'ap3')"
2,10.198039027185569,,False,KWNN,4.177062937265398,4.8366603685515335,1.6968277411047998,1.3350600897869478,7.304369973633975,2.843225863722871,4.97573954981657,"(2, 4)","('ap2', 'ap4')"
2,10.198039027185569,,False,RF,3.9406424850204056,4.125379799485134,1.8610865266549663,0.9440580967292215,6.668095167287282,3.2164484280025385,4.939454095342926,"(2, 4)","('ap2', 'ap4')"
2,10.198039027185569,,False,Transformer,3.2559401876374197,3.0209495420069787,1.5120917704096017,1.005008068406809,5.448005032693329,1.9722531056724455,4.323308663901533,"(2, 4)","('ap2', 'ap4')"
2,19.4164878389476,,False,KWNN,4.148840635636286,3.687247151843676,2.7383082861150503,0.6248405685119515,10.26240973162609,2.0904933019075034,4.592215848676538,"(2, 5)","('ap2', 'ap5')"
2,19.4164878389476,,False,RF,3.741266850706472,3.018939158048734,2.3373247593549684,0.5855636942297567,7.812364841070852,2.0711988050402117,5.292411023342764,"(2, 5)","('ap2', 'ap5')"
2,19.4164878389476,,False,Transformer,3.923016248257616,3.7569971306655026,1.9498672390613032,1.6327519612921964,8.150111843341898,2.4537119158738228,4.595663229558518,"(2, 5)","('ap2', 'ap5')"
2,15.0,,False,KWNN,2.194822712917295,1.8562570365182567,1.3306158920994224,0.957652415390058,5.146087178658153,1.051279004196397,2.642512735115202,"(2, 6)","('ap2', 'ap6')"
2,15.0,,False,RF,2.286638916127948,2.1227478064998677,1.115431456395179,0.7489728700026457,4.4828562323590075,1.7070243378464172,2.9233962714623547,"(2, 6)","('ap2', 'ap6')"
2,15.0,,False,Transformer,2.841790810634211,2.3860919711100395,1.2206510310856555,1.365530934887844,5.33489903703037,2.1076330518047675,3.9551183757146826,"(2, 6)","('ap2', 'ap6')"
2,2.0,clustered,True,KWNN,5.633222878017111,3.7950471545391884,3.4657162218913813,1.8680882615270915,11.152137202251762,2.748558970667426,8.28789480424492,"(3, 4)","('ap3', 'ap4')"
2,2.0,clustered,True,RF,5.131136115192236,5.0466658706516325,3.4316672591278325,1.104770908378746,11.060380500235967,1.7887045144461395,8.628227767624125,"(3, 4)","('ap3', 'ap4')"
2,2.0,clustered,True,Transformer,4.191042595027107,2.6397951005832816,2.2267316099035983,1.530051462399769,7.58108210306578,2.298145300343164,6.3598917860296,"(3, 4)","('ap3', 'ap4')"
2,9.848857801796104,,False,KWNN,6.3452307867205535,5.764340469037634,4.8694182943188355,0.2686238530223601,13.34172891074637,1.3688134496504711,12.18182755789648,"(3, 5)","('ap3', 'ap5')"
2,9.848857801796104,,False,RF,6.677797368287162,5.874035213547838,4.815074201953619,0.6685626373048377,14.840262866944103,2.1643440114732226,11.344459856687758,"(3, 5)","('ap3', 'ap5')"
2,9.848857801796104,,False,Transformer,5.609348050385948,6.271800433836892,2.3645337664332198,2.5955749035078717,10.3370381048698,3.2006828846921014,6.59772825107582,"(3, 5)","('ap3', 'ap5')"
2,5.0,,False,KWNN,4.566171689011325,2.790656133175062,3.3057916721501464,0.41566679475036145,9.902507893782808,2.414787978919891,7.5845558090814675,"(3, 6)","('ap3', 'ap6')"
2,5.0,,False,RF,4.246536001975901,3.668909277973496,2.944210412455505,0.41050257002849566,9.149467101968288,2.296664024188127,5.383828169620572,"(3, 6)","('ap3', 'ap6')"
2,5.0,,False,Transformer,4.571535487239391,3.9662437163256725,2.7294311678340417,1.488093125427229,9.68335139365877,2.035675849691158,5.040245597283559,"(3, 6)","('ap3', 'ap6')"
2,10.816653826391969,,False,KWNN,7.805761106470862,8.62244893967609,3.848246684348822,2.305605624767394,14.068486472414463,5.32402886155147,11.068806753121402,"(4, 5)","('ap4', 'ap5')"
2,10.816653826391969,,False,RF,6.106611552913898,6.084969206988643,4.027913670270485,1.2407749836291833,12.626281797900758,2.0510602233966706,8.346508625766825,"(4, 5)","('ap4', 'ap5')"
2,10.816653826391969,,False,Transformer,5.082039101354525,5.8932141623947265,2.4723520453457177,1.697630231771834,8.67984077125745,2.3455060268357055,7.001211191928495,"(4, 5)","('ap4', 'ap5')"
2,5.385164807134504,,False,KWNN,2.5913112560102354,1.8578765711071,1.6180423641679864,1.1365450071373737,5.972728244009313,1.2875506391501108,3.130513964419322,"(4, 6)","('ap4', 'ap6')"
2,5.385164807134504,,False,RF,2.010460926694836,1.9414670973261434,1.1385721223483807,0.7452838452562891,4.019702854689635,0.9914789407748407,2.6527697242693344,"(4, 6)","('ap4', 'ap6')"
2,5.385164807134504,,False,Transformer,2.3025405642373027,2.5330777957557506,1.0795272944798224,0.6276849911036968,3.7341899511496655,1.3589191535174692,3.260187376616267,"(4, 6)","('ap4', 'ap6')"
2,5.656854249492381,,False,KWNN,3.8619049745236254,2.730986857432054,2.161118911654102,1.9324810765488545,7.644726323374802,2.1874123293225476,6.290734123603659,"(5, 6)","('ap5', 'ap6')"
2,5.656854249492381,,False,RF,3.646187767343214,2.892525049156878,2.5053655354833584,0.8808135387242865,7.968151125574866,1.548748255850511,6.045945194094965,"(5, 6)","('ap5', 'ap6')"
2,5.656854249492381,,False,Transformer,4.006212554642515,3.54252556793684,1.5432260836752127,2.2892055646444707,7.501920261843499,3.059647576483156,4.969296621845093,"(5, 6)","('ap5', 'ap6')"
